Date,Close,Volume,Open,High,Low
2018-01-31,70.86,30996865,69.502,71.238,69.038
2018-01-30,69.16,23553420,69.028,69.654,68.434
2018-01-29,69.91,23691040,67.97,70.17,67.656
2018-01-26,68.57,22677285,68.3,68.8,67.142
2018-01-25,67.53,33626040,69.654,69.84,67.28
2018-01-24,69.18,26386930,70.916,70.95,68.704
2018-01-23,70.56,27238110,72.0,72.1,70.2
2018-01-22,70.31,30998885,69.88,71.566,69.84
2018-01-19,70.0,24355905,69.0,70.118,68.52
2018-01-18,68.91,28398145,69.134,70.46,68.748
2018-01-17,69.43,35462770,68.094,69.8,67.95
2018-01-16,68.01,32146170,67.508,69.0,66.96
2018-01-12,67.24,24112545,67.726,68.082,66.734
2018-01-11,67.59,33204315,67.048,68.962,66.652
2018-01-10,66.96,21515265,66.44,67.4,66.0
2018-01-09,66.74,35672625,67.032,67.76,65.48100000000001
2018-01-08,67.28,49163050,63.2,67.404,63.1
2018-01-05,63.32,22943640,63.324,63.448,62.4
2018-01-04,62.92,49722965,62.574,63.71,61.136
2018-01-03,63.45,22192600,64.2,65.05,63.11
2018-01-02,64.11,21728075,62.4,64.422,62.2
2017-12-29,62.27,18847520,63.236000000000004,63.282,62.0
2017-12-28,63.07,21533730,62.35,63.163999999999994,61.908
2017-12-27,62.33,23525420,63.2,63.536,62.15
2017-12-26,63.46,21843495,64.766,64.788,63.316
2017-12-22,65.04,21038010,65.902,66.1843,64.964
2017-12-21,66.33,21849970,65.918,66.748,65.442
2017-12-20,65.8,29536890,66.538,66.62,65.008
2017-12-19,66.22,34104340,68.05199999999999,68.2985,66.06
2017-12-18,67.77,27332730,68.98,69.346,67.516
2017-12-15,68.69,34606230,68.408,68.78,67.152
2017-12-14,67.58,28960120,68.202,69.488,67.38
2017-12-13,67.81,31088505,68.186,68.844,67.3
2017-12-12,68.21,43577850,66.09,68.288,66.006
2017-12-11,65.78,39630450,62.926,65.80199999999999,62.75
2017-12-08,63.03,17330440,62.92,63.396,62.251999999999995
2017-12-07,62.25,23897950,62.4,63.7268,62.21
2017-12-06,62.65,35922385,60.02,62.678000000000004,60.0
2017-12-05,60.74,23218540,60.4,61.6,60.2
2017-12-04,61.04,29171135,61.3,61.653,60.122
2017-12-01,61.31,21430410,61.088,62.06399999999999,61.01
2017-11-30,61.77,21727170,61.711999999999996,62.14,60.908
2017-11-29,61.51,43787315,63.46,63.6,60.246
2017-11-28,63.51,24708515,63.272,64.0,62.784
2017-11-27,63.36,22688895,62.65,63.468,61.902
2017-11-24,63.11,16220325,62.758,63.282,62.2
2017-11-22,62.52,24566415,63.354,63.483999999999995,62.368
2017-11-21,63.56,36281905,62.172,63.646,61.742
2017-11-20,61.75,41209105,62.758,63.1,60.95
2017-11-17,63.01,68604150,65.134,65.334,62.63
2017-11-16,62.5,28972045,62.798,63.628,62.26
2017-11-15,62.26,29759175,61.202,62.498000000000005,60.3
2017-11-14,61.74,28309520,63.0,63.27,61.38
2017-11-13,63.08,37826210,60.026,63.36,59.821999999999996
2017-11-10,60.6,23105400,60.5,61.672,60.37
2017-11-09,60.6,27200865,60.5,60.891999999999996,59.26
2017-11-08,60.88,23626775,61.1,61.378,60.26
2017-11-07,61.21,26424220,60.20399999999999,61.3,60.006
2017-11-06,60.56,32403445,61.4,61.5,59.802
2017-11-03,61.22,44429665,59.9,61.25,59.026
2017-11-02,59.85,98856400,60.026,61.738,58.526
2017-11-01,64.22,41212435,66.45,66.5218,64.05199999999999
2017-10-31,66.31,28250310,64.046,66.39,64.036
2017-10-30,64.02,21238095,63.836000000000006,64.756,63.45
2017-10-27,64.17,34841825,63.95,64.918,63.332
2017-10-26,65.23,25050435,65.556,66.046,64.64
2017-10-25,65.17,42918095,67.34,67.5,64.712
2017-10-24,67.47,22428460,67.76,68.56,67.232
2017-10-23,67.4,28697990,69.976,69.99,67.25
2017-10-20,69.02,24628285,70.538,70.91,68.868
2017-10-19,70.36,25278575,71.112,71.4293,69.64
2017-10-18,71.93,24680120,71.194,72.6,70.82600000000001
2017-10-17,71.15,16451450,70.182,71.244,70.014
2017-10-16,70.12,26865450,70.752,70.896,69.432
2017-10-13,71.11,17694035,71.396,71.69800000000001,70.736
2017-10-12,71.14,20367760,70.59,71.956,70.528
2017-10-11,70.92,22473665,70.778,71.52,70.23
2017-10-10,71.12,34861315,69.36,71.126,69.1061
2017-10-09,68.59,37307305,69.93,70.35,68.53399999999999
2017-10-06,71.38,21364330,70.62,72.0198,70.45
2017-10-05,71.07,20839565,71.2,71.487,70.27
2017-10-04,71.0,40739975,70.25,71.72399999999999,69.92
2017-10-03,69.63,50612750,67.18,69.71,66.256
2017-10-02,68.31,26137735,68.50399999999999,68.74,67.102
2017-09-29,68.22,25495255,68.372,68.936,67.7202
2017-09-28,67.92,26548895,67.976,68.55,67.08
2017-09-27,68.19,30136875,69.98,70.2978,68.1
2017-09-26,69.05,35748245,70.186,70.248,68.18
2017-09-25,69.0,37935790,70.63,71.4938,68.57600000000001
2017-09-22,70.22,40714475,73.298,73.98,70.176
2017-09-21,73.3,23054360,74.98,75.366,72.902
2017-09-20,74.78,24549790,74.6,75.6498,74.214
2017-09-19,75.02,32176040,76.0,76.47800000000001,74.714
2017-09-18,77.0,35888865,76.05,77.922,75.536
